"id","plot","trt","spp","rep","focal","allometry_method","total_leaf_area","leaf_length","stem_length","notes"
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,88.041,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,466.143,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,451.924,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,451.325,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,514.492,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,297.57,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,180.348,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,202.28,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,396.345,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,48.753,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,211.903,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,658.03,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,356.628,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,210.65,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,351.114,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,398.553,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,155.523,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,677.699,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,579.823,NA,NA,NA
"sla_NA_NA_NA_NA","sla",NA,NA,NA,"n",NA,963.866,NA,NA,NA
